benchmark,run,result
ackermann,baseline,1464231
ackermann,l3,1464231
ackermann,tdce,1464231
armstrong,baseline,133
armstrong,l3,133
armstrong,tdce,133
bbs,baseline,137
bbs,l3,137
bbs,tdce,137
bin-search,baseline,358
bin-search,l3,350
bin-search,tdce,358
binary-fmt,baseline,100
binary-fmt,l3,100
binary-fmt,tdce,100
binpow,baseline,105
binpow,l3,105
binpow,tdce,105
bitshift,baseline,167
bitshift,l3,167
bitshift,tdce,167
bitwise-ops,baseline,1690
bitwise-ops,l3,1690
bitwise-ops,tdce,1690
braille,baseline,325
braille,l3,325
braille,tdce,325
catalan,baseline,659378
catalan,l3,659378
catalan,tdce,659378
check-primes,baseline,8468
check-primes,l3,8468
check-primes,tdce,8468
collatz,baseline,169
collatz,l3,169
collatz,tdce,169
combination,baseline,178
combination,l3,178
combination,tdce,178
dayofweek,baseline,269
dayofweek,l3,269
dayofweek,tdce,269
delannoy,baseline,5748752
delannoy,l3,5748752
delannoy,tdce,5748752
digital-root,baseline,247
digital-root,l3,247
digital-root,tdce,247
euclid,baseline,563
euclid,l3,563
euclid,tdce,563
fact,baseline,229
fact,l3,229
fact,tdce,229
factors,baseline,72
factors,l3,72
factors,tdce,72
fib_recursive,baseline,2693
fib_recursive,l3,2693
fib_recursive,tdce,2693
fitsinside,baseline,10
fitsinside,l3,10
fitsinside,tdce,10
fizz-buzz,baseline,3652
fizz-buzz,l3,3652
fizz-buzz,tdce,3652
gcd,baseline,46
gcd,l3,46
gcd,tdce,46
gebmm,baseline,3011
gebmm,l3,3011
gebmm,tdce,3011
geometric-sum,baseline,35
geometric-sum,l3,35
geometric-sum,tdce,35
gpf,baseline,759
gpf,l3,759
gpf,tdce,759
grad_desc,baseline,229
grad_desc,l3,229
grad_desc,tdce,229
graycode,baseline,1259
graycode,l3,1259
graycode,tdce,1259
hamming,baseline,117
hamming,l3,117
hamming,tdce,117
hanoi,baseline,99
hanoi,l3,99
hanoi,tdce,99
is-decreasing,baseline,127
is-decreasing,l3,127
is-decreasing,tdce,127
karatsuba,baseline,1548
karatsuba,l3,1548
karatsuba,tdce,1548
lcm,baseline,2326
lcm,l3,2326
lcm,tdce,2326
legendre,baseline,153
legendre,l3,153
legendre,tdce,153
loopfact,baseline,116
loopfact,l3,116
loopfact,tdce,116
mccarthy91,baseline,1385
mccarthy91,l3,1385
mccarthy91,tdce,1385
mod_inv,baseline,558
mod_inv,l3,558
mod_inv,tdce,558
mod_pow,baseline,243
mod_pow,l3,243
mod_pow,tdce,243
montgomery,baseline,17
montgomery,l3,17
montgomery,tdce,17
mountain,baseline,100
mountain,l3,incorrect
mountain,tdce,100
orders,baseline,5352
orders,l3,5352
orders,tdce,5352
palindrome,baseline,298
palindrome,l3,incorrect
palindrome,tdce,298
pascals-row,baseline,146
pascals-row,l3,146
pascals-row,tdce,146
perfect,baseline,232
perfect,l3,232
perfect,tdce,232
permutation,baseline,130
permutation,l3,130
permutation,tdce,130
primes-between,baseline,574100
primes-between,l3,574100
primes-between,tdce,574100
pythagorean_triple,baseline,61518
pythagorean_triple,l3,61518
pythagorean_triple,tdce,61518
quadratic,baseline,785
quadratic,l3,412
quadratic,tdce,785
recfact,baseline,104
recfact,l3,104
recfact,tdce,104
rectangles-area-difference,baseline,14
rectangles-area-difference,l3,14
rectangles-area-difference,tdce,14
relative-primes,baseline,1923
relative-primes,l3,1923
relative-primes,tdce,1923
reverse,baseline,46
reverse,l3,46
reverse,tdce,46
rot13,baseline,8
rot13,l3,8
rot13,tdce,8
sqrt_bin_search,baseline,744
sqrt_bin_search,l3,744
sqrt_bin_search,tdce,744
squares,baseline,153
squares,l3,153
squares,tdce,153
sum-bits,baseline,73
sum-bits,l3,73
sum-bits,tdce,73
sum-check,baseline,5018
sum-check,l3,5018
sum-check,tdce,5018
sum-digits,baseline,219
sum-digits,l3,219
sum-digits,tdce,219
sum-divisible-by-m,baseline,16
sum-divisible-by-m,l3,16
sum-divisible-by-m,tdce,16
sum-divisors,baseline,159
sum-divisors,l3,159
sum-divisors,tdce,159
sum-of-cubes,baseline,8
sum-of-cubes,l3,8
sum-of-cubes,tdce,8
sum-sq-diff,baseline,3038
sum-sq-diff,l3,3038
sum-sq-diff,tdce,3038
sum-to-ten,baseline,143
sum-to-ten,l3,143
sum-to-ten,tdce,143
tail-call,baseline,missing
tail-call,l3,missing
tail-call,tdce,missing
totient,baseline,253
totient,l3,253
totient,tdce,253
triangle,baseline,188
triangle,l3,188
triangle,tdce,188
up-arrow,baseline,252
up-arrow,l3,252
up-arrow,tdce,252
